,NAS _folder1,BioaccesioningId,SampleNaming,parentName,NAS_folder,group_name,imageGroupRid,rawImageKey,displayImageKey,title,imageMetadata,displayName,displayIdentifier,groupType,parentId,parentType,childId,childType,analyticId,analyticVersion,area,greenRing,greenAnnotation,redRing,redAnnotation,bftitle,redtitle,red_rawimagekey,greentitle,green_rawimagekey,title_0,title_1,title_2,title_3,parentId_check,title_5,6,well,channel,slice,row,column,WELL,s3_key,Day
77183,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day7 images/,Establishment Day 7,02a4bcbe-1ecd-490e-9f1d-e4f7b331ee86,s3://xilishub-production/98387c26-1d8b-4a7c-b7a3-d430e65184f7.tiff,s3://xilishub-production/98387c26-1d8b-4a7c-b7a3-d430e65184f7.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day7 Live_Dead/Well_F1_Ch3_1um,{},Establishment Day 7,establishment_day_7,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",02a4bcbe-1ecd-490e-9f1d-e4f7b331ee86,group,98387c26-1d8b-4a7c-b7a3-d430e65184f7,images,detect-objects-with-threshold,1.0.1,647.0,75551.0,50559.0,73726.0,25726.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day7 LiveDead/Well_F1_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day7 LiveDead/Well_F1_Ch2_1um,s3://xilishub-production/6545d32e-9c0f-4329-9751-1a360f6f8d98-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day7 LiveDead/Well_F1_Ch1_1um,s3://xilishub-production/89538dbe-0434-483f-a0a7-88dc97ff593b-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day7 Live_Dead,Well_F1_Ch3_1um,F1,Ch3,1um,F,01,F01,98387c26-1d8b-4a7c-b7a3-d430e65184f7.tiff,Day 07
78176,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day7 images/,Establishment Day 7,02a4bcbe-1ecd-490e-9f1d-e4f7b331ee86,s3://xilishub-production/3099c9e4-c5fb-4404-9e77-48cae2db66c9.tiff,s3://xilishub-production/3099c9e4-c5fb-4404-9e77-48cae2db66c9.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day7 Live_Dead/Well_E1_Ch3_1um,{},Establishment Day 7,establishment_day_7,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",02a4bcbe-1ecd-490e-9f1d-e4f7b331ee86,group,3099c9e4-c5fb-4404-9e77-48cae2db66c9,images,detect-objects-with-threshold,1.0.1,400.0,89144.0,25162.0,99851.0,22054.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day7 LiveDead/Well_E1_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day7 LiveDead/Well_E1_Ch2_1um,s3://xilishub-production/67c15538-c865-45a1-8e59-9d52eb736422-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day7 LiveDead/Well_E1_Ch1_1um,s3://xilishub-production/08a1c919-3d1c-4df3-9292-15d51fd62e0e-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day7 Live_Dead,Well_E1_Ch3_1um,E1,Ch3,1um,E,01,E01,3099c9e4-c5fb-4404-9e77-48cae2db66c9.tiff,Day 07
78983,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day7 images/,Establishment Day 7,02a4bcbe-1ecd-490e-9f1d-e4f7b331ee86,s3://xilishub-production/9b4f876c-85c8-4c77-985e-26d8a4202c47.tiff,s3://xilishub-production/9b4f876c-85c8-4c77-985e-26d8a4202c47.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day7 Live_Dead/Well_D1_Ch3_1um,{},Establishment Day 7,establishment_day_7,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",02a4bcbe-1ecd-490e-9f1d-e4f7b331ee86,group,9b4f876c-85c8-4c77-985e-26d8a4202c47,images,detect-objects-with-threshold,1.0.1,2742.0,150443.0,315677.0,200221.0,179244.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day7 LiveDead/Well_D1_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day7 LiveDead/Well_D1_Ch2_1um,s3://xilishub-production/1c487e59-ea87-4f69-92b3-16cb15290f0e-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day7 LiveDead/Well_D1_Ch1_1um,s3://xilishub-production/ea07f57f-07dd-4aaa-9b72-4dc0eefe7325-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day7 Live_Dead,Well_D1_Ch3_1um,D1,Ch3,1um,D,01,D01,9b4f876c-85c8-4c77-985e-26d8a4202c47.tiff,Day 07
79842,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day8 Bright Field Only/,Establishment Day 8 BF Only,729fa35f-c0bb-4aab-a7cd-2c89badc7253,s3://xilishub-production/883f85dc-40d3-4b6c-ad34-0051c16eb1bd.tiff,s3://xilishub-production/883f85dc-40d3-4b6c-ad34-0051c16eb1bd.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day8 Bright Field Only/Well_C7_Ch1_1um,{},Establishment Day 8 BF Only,establishment_day_8_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",729fa35f-c0bb-4aab-a7cd-2c89badc7253,group,883f85dc-40d3-4b6c-ad34-0051c16eb1bd,images,detect-objects-with-threshold,1.0.1,805.0,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day8 Bright Field Only,Well_C7_Ch1_1um,C7,Ch1,1um,C,07,C07,883f85dc-40d3-4b6c-ad34-0051c16eb1bd.tiff,Day 08
80764,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day8 Bright Field Only/,Establishment Day 8 BF Only,729fa35f-c0bb-4aab-a7cd-2c89badc7253,s3://xilishub-production/88b633ed-6bfa-46c7-b8cf-5a2eac2702f5.tiff,s3://xilishub-production/88b633ed-6bfa-46c7-b8cf-5a2eac2702f5.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day8 Bright Field Only/Well_D7_Ch1_1um,{},Establishment Day 8 BF Only,establishment_day_8_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",729fa35f-c0bb-4aab-a7cd-2c89badc7253,group,88b633ed-6bfa-46c7-b8cf-5a2eac2702f5,images,detect-objects-with-threshold,1.0.1,1215.0,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day8 Bright Field Only,Well_D7_Ch1_1um,D7,Ch1,1um,D,07,D07,88b633ed-6bfa-46c7-b8cf-5a2eac2702f5.tiff,Day 08
81703,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day8 Bright Field Only/,Establishment Day 8 BF Only,729fa35f-c0bb-4aab-a7cd-2c89badc7253,s3://xilishub-production/5508b0e8-39b1-4c05-9f97-41986a0df91f.tiff,s3://xilishub-production/5508b0e8-39b1-4c05-9f97-41986a0df91f.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day8 Bright Field Only/Well_B7_Ch1_1um,{},Establishment Day 8 BF Only,establishment_day_8_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",729fa35f-c0bb-4aab-a7cd-2c89badc7253,group,5508b0e8-39b1-4c05-9f97-41986a0df91f,images,detect-objects-with-threshold,1.0.1,1843.5,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day8 Bright Field Only,Well_B7_Ch1_1um,B7,Ch1,1um,B,07,B07,5508b0e8-39b1-4c05-9f97-41986a0df91f.tiff,Day 08
82584,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day9 Bright Field Only/,Establishment Day 9 BF Only,d6dcb050-2f65-4439-a791-86249f2e4b5e,s3://xilishub-production/a5079106-991f-4690-9a7e-e86c38e472fc.tiff,s3://xilishub-production/a5079106-991f-4690-9a7e-e86c38e472fc.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day9 Bright Field Only/Well_A1_Ch1_1um,{},Establishment Day 9 BF Only,establishment_day_9_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",d6dcb050-2f65-4439-a791-86249f2e4b5e,group,a5079106-991f-4690-9a7e-e86c38e472fc,images,detect-objects-with-threshold,1.0.1,523.5,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day9 Bright Field Only,Well_A1_Ch1_1um,A1,Ch1,1um,A,01,A01,a5079106-991f-4690-9a7e-e86c38e472fc.tiff,Day 09
83400,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day9 Bright Field Only/,Establishment Day 9 BF Only,d6dcb050-2f65-4439-a791-86249f2e4b5e,s3://xilishub-production/9e20fd70-83b2-43c2-88f9-5dfd66e783ca.tiff,s3://xilishub-production/9e20fd70-83b2-43c2-88f9-5dfd66e783ca.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day9 Bright Field Only/Well_C1_Ch1_1um,{},Establishment Day 9 BF Only,establishment_day_9_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",d6dcb050-2f65-4439-a791-86249f2e4b5e,group,9e20fd70-83b2-43c2-88f9-5dfd66e783ca,images,detect-objects-with-threshold,1.0.1,1007.5,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day9 Bright Field Only,Well_C1_Ch1_1um,C1,Ch1,1um,C,01,C01,9e20fd70-83b2-43c2-88f9-5dfd66e783ca.tiff,Day 09
84381,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day9 Bright Field Only/,Establishment Day 9 BF Only,d6dcb050-2f65-4439-a791-86249f2e4b5e,s3://xilishub-production/c843e036-f9ba-4c9e-a3c2-7a1ac1507f18.tiff,s3://xilishub-production/c843e036-f9ba-4c9e-a3c2-7a1ac1507f18.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day9 Bright Field Only/Well_B1_Ch1_1um,{},Establishment Day 9 BF Only,establishment_day_9_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",d6dcb050-2f65-4439-a791-86249f2e4b5e,group,c843e036-f9ba-4c9e-a3c2-7a1ac1507f18,images,detect-objects-with-threshold,1.0.1,1041.0,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day9 Bright Field Only,Well_B1_Ch1_1um,B1,Ch1,1um,B,01,B01,c843e036-f9ba-4c9e-a3c2-7a1ac1507f18.tiff,Day 09
85309,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day10 images/,Establishment Day 10,a4d9b4c6-f91f-4192-a182-ee5ecdb6e18d,s3://xilishub-production/08de0b7e-622b-431a-af53-454469073aee.tiff,s3://xilishub-production/08de0b7e-622b-431a-af53-454469073aee.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day10 Live_Dead/Well_G1_Ch3_1um,{},Establishment Day 10,establishment_day_10,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",a4d9b4c6-f91f-4192-a182-ee5ecdb6e18d,group,08de0b7e-622b-431a-af53-454469073aee,images,detect-objects-with-threshold,1.0.1,1100.0,606967.0,132467.0,234268.0,46395.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day10 LiveDead/Well_G1_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day10 LiveDead/Well_G1_Ch2_1um,s3://xilishub-production/64178bda-b6ab-4bf3-9d94-36b567e1bbca-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day10 LiveDead/Well_G1_Ch1_1um,s3://xilishub-production/f67f5710-b3df-47d3-82eb-7054099d3663-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day10 Live_Dead,Well_G1_Ch3_1um,G1,Ch3,1um,G,01,G01,08de0b7e-622b-431a-af53-454469073aee.tiff,Day 10
86294,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day10 images/,Establishment Day 10,a4d9b4c6-f91f-4192-a182-ee5ecdb6e18d,s3://xilishub-production/db2f9f4a-55ef-4e6a-9f0e-d6247f7ed903.tiff,s3://xilishub-production/db2f9f4a-55ef-4e6a-9f0e-d6247f7ed903.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day10 Live_Dead/Well_E1_Ch3_1um,{},Establishment Day 10,establishment_day_10,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",a4d9b4c6-f91f-4192-a182-ee5ecdb6e18d,group,db2f9f4a-55ef-4e6a-9f0e-d6247f7ed903,images,detect-objects-with-threshold,1.0.1,402.5,916033.0,117856.0,301342.0,28819.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day10 LiveDead/Well_E1_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day10 LiveDead/Well_E1_Ch2_1um,s3://xilishub-production/fd2b5ffb-9d5e-4ec2-8058-9246b5cfa1a4-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day10 LiveDead/Well_E1_Ch1_1um,s3://xilishub-production/ad07d1f9-5c96-4f5b-8025-523ccbfb1df6-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day10 Live_Dead,Well_E1_Ch3_1um,E1,Ch3,1um,E,01,E01,db2f9f4a-55ef-4e6a-9f0e-d6247f7ed903.tiff,Day 10
86912,Trial 2 images by sample/,501274,501274 Trial 2/ – > Tx 501274 Trial 2,Tx 501274 Trial 2,Day10 images/,Establishment Day 10,a4d9b4c6-f91f-4192-a182-ee5ecdb6e18d,s3://xilishub-production/f97554b8-2f5b-4e29-94f1-3f23a1f3fb89.tiff,s3://xilishub-production/f97554b8-2f5b-4e29-94f1-3f23a1f3fb89.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day10 Live_Dead/Well_F1_Ch3_1um,{},Establishment Day 10,establishment_day_10,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",a4d9b4c6-f91f-4192-a182-ee5ecdb6e18d,group,f97554b8-2f5b-4e29-94f1-3f23a1f3fb89,images,detect-objects-with-threshold,1.0.1,493.5,129635.0,122578.0,101158.0,34713.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day10 LiveDead/Well_F1_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day10 LiveDead/Well_F1_Ch2_1um,s3://xilishub-production/6e2cffc5-788f-477f-a981-91fed30149fb-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501274 Trial 2/Day10 LiveDead/Well_F1_Ch1_1um,s3://xilishub-production/5143e4bd-6e51-4d8c-97e6-84a5e8e369c7-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501274 Trial 2,Day10 Live_Dead,Well_F1_Ch3_1um,F1,Ch3,1um,F,01,F01,f97554b8-2f5b-4e29-94f1-3f23a1f3fb89.tiff,Day 10
103766,Trial 2 images by sample/,501280,501280 Trial 2/ – > Tx 501280 Trial 2,Tx 501280 Trial 2,Day2 Bright Field Only/,Establishment Day 2 BF Only,68d465d9-9a0c-48fe-b3e5-92c97ae0c7af,s3://xilishub-production/23b13885-cedd-41b9-8e15-ada2da9751b2.tiff,s3://xilishub-production/23b13885-cedd-41b9-8e15-ada2da9751b2.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/501280 Trial 2/Day2 Bright Field Only/Well_C2_Ch1_1um,{},Establishment Day 2 BF Only,establishment_day_2_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",68d465d9-9a0c-48fe-b3e5-92c97ae0c7af,group,23b13885-cedd-41b9-8e15-ada2da9751b2,images,detect-objects-with-threshold,1.0.1,518.5,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,501280 Trial 2,Day2 Bright Field Only,Well_C2_Ch1_1um,C2,Ch1,1um,C,02,C02,23b13885-cedd-41b9-8e15-ada2da9751b2.tiff,Day 02
